ID,Item title,Final URL,Image URL,Price,Sale price
DX5074_101_M_CNF,U nk nsw everyday essential an,http://ballzy.eu/lv/product/u-nk-nsw-everyday-essential-an-dx5074-101-m-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DX5074_101_M_CNF_93cfd5ae_sq.jpg,19€,
DX5075_100_L_CNF,U nk nsw everyday essential ns,http://ballzy.eu/lv/product/u-nk-nsw-everyday-essential-ns-dx5075-100-l-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DX5075_100_L_CNF_3e1845ea_sq.jpg,19€,
I030740_89XX_XS_CNF,L/s on u sound shirt jac,http://ballzy.eu/lv/product/l-s-on-u-sound-shirt-jac-i030740-89xx-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_I030740_89XX_XS_CNF_3a5cb278_sq.jpg,34€,34€
LAH91014_BK_OSZ_CNF,6-panel curved brim nb classic hat,http://ballzy.eu/lv/product/6-panel-curved-brim-nb-classic-hat-lah91014-bk-osz-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_LAH91014_BK_OSZ_CNF_c723eb98_sq.jpg,12€,12€
162056C_102_10_CNF,Chuck 70 hi,http://ballzy.eu/lv/product/chuck-70-hi-162056c-102-10-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_162056C_102_10_CNF_1d51a300_sq.jpg,69€,69€
DK0A4XB2BLK1_S_CNF,Pelican rapids,http://ballzy.eu/lv/product/pelican-rapids-dk0a4xb2blk1-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DK0A4XB2BLK1_S_CNF_13571acc_sq.jpg,24€,24€
DK0A4XK7CH01_S_CNF,Work shirt ss rec,http://ballzy.eu/lv/product/work-shirt-ss-rec-dk0a4xk7ch01-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DK0A4XK7CH01_S_CNF_00fb199b_sq.jpg,22€,22€
S2108_807_3.5_CNF,Shadow original,http://ballzy.eu/lv/product/shadow-original-s2108-807-3-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S2108_807_3.5_CNF_9f59951d_sq.jpg,89€,89€
DX5075_911_L_CNF,U nk nsw everyday essential ns,http://ballzy.eu/lv/product/u-nk-nsw-everyday-essential-ns-dx5075-911-l-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DX5075_911_L_CNF_e85122e0_sq.jpg,19€,
HC2013_40_CNF,Tee,http://ballzy.eu/lv/product/tee-hc2013-40-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_HC2013_40_CNF_e218dceb_sq.jpg,14€,14€
DH8680_010_2XL_CNF,Bkn m nk trkst cts ftpk,http://ballzy.eu/lv/product/bkn-m-nk-trkst-cts-ftpk-dh8680-010-2xl-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH8680_010_2XL_CNF_508228aa_sq.jpg,97€,97€
CP017_CNF,Crep protect - mark-on white,http://ballzy.eu/lv/product/crep-protect-mark-on-white-cp017-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP017_CNF_39e10e8a_sq.jpg,17€,
CP018_CNF,Crep protect - ultimate box pack,http://ballzy.eu/lv/product/crep-protect-ultimate-box-pack-cp018-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP018_CNF_24351c76_sq.jpg,49€,
CP031_CNF,Crep protect - sneaker shields s,http://ballzy.eu/lv/product/crep-protect-sneaker-shields-s-cp031-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP031_CNF_954b6475_sq.jpg,12€,
DX5025_100_S_CNF,U nk nsw everyday essential cr,http://ballzy.eu/lv/product/u-nk-nsw-everyday-essential-cr-dx5025-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DX5025_100_S_CNF_8de76888_sq.jpg,19€,
I030284_89FH_XS_CNF,W´ santa fe bomber,http://ballzy.eu/lv/product/w-santa-fe-bomber-i030284-89fh-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_I030284_89FH_XS_CNF_3786b7bc_sq.jpg,69€,69€
S2044_642_3.5_CNF,Jazz original,http://ballzy.eu/lv/product/jazz-original-s2044-642-3-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S2044_642_3.5_CNF_35b4dd99_sq.jpg,79€,79€
DB3021_11.5_CNF,Handball spezial,http://ballzy.eu/lv/product/handball-spezial-db3021-11-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DB3021_11.5_CNF_97543ef4_sq.jpg,114€,
I030014_89XX_S_CNF,Hewitt vest,http://ballzy.eu/lv/product/hewitt-vest-i030014-89xx-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_I030014_89XX_S_CNF_4ea733e0_sq.jpg,69€,69€
10001_100_41_CNF,Classic,http://ballzy.eu/lv/product/classic-10001-100-41-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_10001_100_41_CNF_1b22c389_sq.jpg,54€,
CV0062_010_MISC_CNF,W nk one club bag,http://ballzy.eu/lv/product/w-nk-one-club-bag-cv0062-010-misc-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CV0062_010_MISC_CNF_909adccf_sq.jpg,69€,
DH7132_013_S_CNF,M nk df crossover jersey,http://ballzy.eu/lv/product/m-nk-df-crossover-jersey-dh7132-013-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DH7132_013_S_CNF_c6245927_sq.jpg,19€,19€
DM1813_010_XS_CNF,M j df sprt compression short,http://ballzy.eu/lv/product/m-j-df-sprt-compression-short-dm1813-010-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DM1813_010_XS_CNF_e1006884_sq.jpg,23€,23€
DM1813_100_XS_CNF,M j df sprt compression short,http://ballzy.eu/lv/product/m-j-df-sprt-compression-short-dm1813-100-xs-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_DM1813_100_XS_CNF_83dab9fe_sq.jpg,23€,23€
I026235_00HXX_S_CNF,Chase swim trunks,http://ballzy.eu/lv/product/chase-swim-trunks-i026235-00hxx-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_I026235_00HXX_S_CNF_b326381d_sq.jpg,24€,24€
I030018_NOXX_S_CNF,Montana jacket,http://ballzy.eu/lv/product/montana-jacket-i030018-noxx-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_I030018_NOXX_S_CNF_c7a5f8cd_sq.jpg,59€,59€
77-204Z_CNF,Tf-500 excel,http://ballzy.eu/lv/product/tf-500-excel-77-204z-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_77-204Z_CNF_d373b548_sq.jpg,54.95€,
